"id_muni2015","name_muni2015_en","name_muni2015_jp","totalpop1980","totalpop1981","totalpop1982","totalpop1983","totalpop1984","totalpop1985","totalpop1986","totalpop1987","totalpop1988","totalpop1989","totalpop1990","totalpop1991","totalpop1992","totalpop1993","totalpop1994","totalpop1995","totalpop1996","totalpop1997","totalpop1998","totalpop1999","totalpop2000","totalpop2001","totalpop2002","totalpop2003","totalpop2004","totalpop2005","totalpop2006","totalpop2007","totalpop2008","totalpop2009","totalpop2010","totalpop2011","totalpop2012","totalpop2013","totalpop2014","totalpop2015","totalpop2016","totalpop2017","totalpop2018","totalpop2019","totalpop2020","totalpop2021","totalpop2022","totalpop2023","totalpop2024","totalpop2025","totalpop2026","totalpop2027","totalpop2028","totalpop2029","totalpop2030","totalpop2031","totalpop2032","totalpop2033","totalpop2034","totalpop2035","totalpop2036","totalpop2037","totalpop2038","totalpop2039","totalpop2040","totalpop2041","totalpop2042","totalpop2043","totalpop2044","totalpop2045","totalpop2046","totalpop2047","totalpop2048","totalpop2049","totalpop2050"
0,"Japan","日本",117060359,117858055,118655800,119453482,120251227,121048923,121561382,122073821,122586269,123098708,123611167,124002962,124394793,124786620,125178451,125570246,125842010,126113745,126385479,126657214,126928978,127096789,127264587,127432385,127600183,127767994,127825877,127883729,127941617,127999469,128057352,127864844,127672307,127479790,127287253,127094745,126904985,126715210,126525466,126335691,126145931,125575621,125005317,124435043,123864739,123294429,122669468,122044492,121419509,120794533,120169572,119478827,118788131,118097403,117406707,116715962,115960587,115205165,114449836,113694414,112939039,112136948,111334845,110532764,109730661,108928570,108110845,107293124,106475403,105657682,104839957
1100,"Sapporo-shi, Hokkaido","北海道 札幌市",1401757,1430001,1458246,1486490,1514735,1542979,1568732,1594484,1620237,1645989,1671742,1688799,1705855,1722912,1739968,1757025,1770094,1783162,1796231,1809299,1822368,1834067,1845766,1857465,1869164,1880863,1887399,1893936,1900472,1907009,1913545,1921307,1929069,1936832,1944594,1952356,1956564,1960772,1964979,1969187,1973395,1972745,1972095,1971444,1970794,1970144,1966039,1961934,1957829,1953724,1949619,1942921,1936223,1929525,1922827,1916129,1906554,1896978,1887403,1877827,1868252,1856407,1844561,1832716,1820870,1809025,1796342,1783658,1770975,1758291,1745608
1202,"Hakodate-shi, Hokkaido","北海道 函館市",345165,344640,344115,343590,343065,342540,339731,336921,334112,331302,328493,326456,324419,322382,320345,318308,315709,313109,310510,307910,305311,303102,300892,298683,296473,294264,291237,288209,285182,282154,279127,276497,273868,271238,268609,265979,263000,260021,257042,254063,251084,247421,243759,240096,236434,232771,229439,226108,222776,219445,216113,212762,209411,206060,202709,199358,196029,192700,189371,186042,182713,179496,176278,173061,169843,166626,163614,160602,157591,154579,151567
1203,"Otaru-shi, Hokkaido","北海道 小樽市",180728,179080,177431,175783,174134,172486,170631,168776,166921,165066,163211,161973,160735,159498,158260,157022,155755,154488,153221,151954,150687,148982,147277,145571,143866,142161,140114,138068,136021,133975,131928,129927,127926,125926,123925,121924,119799,117674,115549,113424,111299,109284,107268,105253,103237,101222,99193,97165,95136,93108,91079,89124,87170,85215,83261,81306,79438,77571,75703,73836,71968,70234,68500,66766,65032,63298,61747,60196,58644,57093,55542
1204,"Asahikawa-shi, Hokkaido","北海道 旭川市",352619,354821,357024,359226,361429,363631,362719,361807,360895,359983,359071,359370,359670,359969,360269,360568,360362,360155,359949,359742,359536,358630,357723,356817,355910,355004,353422,351840,350259,348677,347095,345597,344099,342601,341103,339605,337545,335485,333426,331366,329306,326126,322946,319766,316586,313406,310497,307588,304679,301770,298861,295841,292822,289802,286783,283763,280609,277454,274300,271145,267991,264781,261571,258362,255152,251942,248777,245611,242446,239280,236115
1205,"Muroran-shi, Hokkaido","北海道 室蘭市",150199,147401,144603,141804,139006,136208,132537,128867,125196,121526,117855,116237,114619,113002,111384,109766,108468,107171,105873,104576,103278,102297,101316,100334,99353,98372,97605,96837,96070,95302,94535,93341,92147,90952,89758,88564,87328,86092,84855,83619,82383,80876,79370,77863,76357,74850,73620,72390,71161,69931,68701,67469,66237,65004,63772,62540,61365,60189,59014,57838,56663,55598,54533,53469,52404,51339,50385,49432,48478,47525,46571
1206,"Kushiro-shi, Hokkaido","北海道 釧路市",227234,227007,226779,226552,226324,226097,224162,222227,220293,218358,216423,215074,213726,212377,211029,209680,208057,206434,204812,203189,201566,199348,197131,194913,192696,190478,188616,186754,184893,183031,181169,179884,178598,177313,176027,174742,172809,170876,168943,167010,165077,162557,160036,157516,154995,152475,150302,148129,145957,143784,141611,139426,137241,135055,132870,130685,128488,126290,124093,121895,119698,117530,115362,113195,111027,108859,106796,104733,102670,100607,98544
1207,"Obihiro-shi, Hokkaido","北海道 帯広市",153861,155675,157489,159304,161118,162932,163822,164713,165603,166494,167384,168250,169116,169983,170849,171715,171978,172241,172504,172767,173030,172540,172050,171560,171070,170580,170075,169571,169066,168562,168057,168311,168565,168819,169073,169327,168769,168211,167652,167094,166536,165491,164446,163402,162357,161312,160313,159314,158314,157315,156316,155188,154060,152932,151804,150676,149423,148171,146918,145666,144413,143028,141642,140257,138871,137486,136046,134607,133167,131728,130288
1208,"Kitami-shi, Hokkaido","北海道 北見市",128229,128898,129567,130235,130904,131573,131203,130834,130464,130095,129725,130089,130453,130816,131180,131544,131660,131776,131893,132009,132125,131573,131021,130469,129917,129365,128630,127895,127159,126424,125689,124796,123904,123011,122119,121226,120077,118928,117778,116629,115480,114332,113183,112035,110886,109738,108485,107232,105980,104727,103474,102162,100851,99539,98228,96916,95544,94172,92801,91429,90057,88642,87227,85813,84398,82983,81587,80191,78794,77398,76002
1209,"Yubari-shi, Hokkaido","北海道 夕張市",41715,39705,37695,35685,33675,31665,29526,27387,25247,23108,20969,20198,19428,18657,17887,17116,16651,16186,15721,15256,14791,14433,14075,13717,13359,13001,12585,12169,11754,11338,10922,10506,10090,9675,9259,8843,8541,8239,7938,7636,7334,7080,6826,6573,6319,6065,5848,5630,5413,5195,4978,4794,4609,4425,4240,4056,3903,3750,3596,3443,3290,3166,3042,2917,2793,2669,2566,2463,2360,2257,2154
1210,"Iwamizawa-shi, Hokkaido","北海道 岩見沢市",93340,93844,94349,94853,95358,95862,95352,94842,94332,93822,93312,94058,94804,95550,96296,97042,96894,96746,96598,96450,96302,95777,95252,94727,94202,93677,92971,92264,91558,90851,90145,89016,87887,86757,85628,84499,83460,82422,81383,80345,79306,78085,76864,75644,74423,73202,72082,70962,69842,68722,67602,66471,65340,64208,63077,61946,60823,59700,58578,57455,56332,55241,54151,53060,51970,50879,49855,48832,47808,46785,45761
1211,"Abashiri-shi, Hokkaido","北海道 網走市",44777,44678,44579,44481,44382,44283,44310,44336,44363,44389,44416,44368,44320,44272,44224,44176,44020,43864,43707,43551,43395,43125,42855,42585,42315,42045,41836,41626,41417,41207,40998,40614,40230,39845,39461,39077,38413,37750,37086,36423,35759,35026,34292,33559,32825,32092,31652,31212,30773,30333,29893,29446,28999,28553,28106,27659,27210,26762,26313,25865,25416,24975,24533,24092,23650,23209,22799,22389,21979,21569,21159
1212,"Rumoi-shi, Hokkaido","北海道 留萌市",36626,36409,36192,35976,35759,35542,34919,34297,33674,33052,32429,31955,31481,31008,30534,30060,29713,29366,29019,28672,28325,28025,27725,27426,27126,26826,26352,25878,25405,24931,24457,24010,23563,23115,22668,22221,21800,21378,20957,20535,20114,19620,19125,18631,18136,17642,17261,16879,16498,16116,15735,15363,14992,14620,14249,13877,13524,13171,12819,12466,12113,11780,11447,11115,10782,10449,10150,9851,9553,9254,8955
1213,"Tomakomai-shi, Hokkaido","北海道 苫小牧市",151967,153186,154405,155623,156842,158061,158472,158884,159295,159707,160118,161960,163802,165644,167486,169328,169880,170431,170983,171534,172086,172220,172355,172489,172624,172758,172870,172983,173095,173208,173320,173203,173087,172970,172854,172737,172212,171687,171163,170638,170113,169013,167913,166813,165713,164613,163532,162451,161369,160288,159207,157970,156733,155497,154260,153023,151652,150281,148911,147540,146169,144685,143202,141718,140235,138751,137229,135707,134184,132662,131140
1214,"Wakkanai-shi, Hokkaido","北海道 稚内市",53471,53148,52824,52501,52177,51854,51130,50405,49681,48956,48232,47736,47241,46745,46250,45754,45358,44962,44566,44170,43774,43338,42901,42465,42028,41592,41193,40793,40394,39994,39595,38952,38309,37666,37023,36380,35817,35253,34690,34126,33563,32908,32253,31598,30943,30288,29758,29227,28697,28166,27636,27109,26583,26056,25530,25003,24492,23981,23471,22960,22449,21959,21468,20978,20487,19997,19541,19085,18628,18172,17716
1215,"Bibai-shi, Hokkaido","北海道 美唄市",38552,38324,38097,37869,37642,37414,36966,36519,36071,35624,35176,34828,34479,34131,33782,33434,32984,32534,32083,31633,31183,30763,30343,29923,29503,29083,28473,27863,27254,26644,26034,25434,24834,24235,23635,23035,22511,21986,21462,20937,20413,19944,19475,19006,18537,18068,17626,17184,16742,16300,15858,15448,15038,14627,14217,13807,13425,13042,12660,12277,11895,11549,11203,10858,10512,10166,9858,9550,9241,8933,8625
