"id_muni2015","name_muni2015_en","name_muni2015_jp","totalpop1980","totalpop1985","totalpop1990","totalpop1995","totalpop2000","totalpop2005","totalpop2010","totalpop2015","totalpop2020"
"1100","Sapporo-shi, Hokkaido","北海道 札幌市","1401757","1542979","1671742","1757025","1822368","1880863","1913545","1952356","1973395"
"1202","Hakodate-shi, Hokkaido","北海道 函館市","345165","342540","328493","318308","305311","294264","279127","265979","251084"
"1203","Otaru-shi, Hokkaido","北海道 小樽市","180728","172486","163211","157022","150687","142161","131928","121924","111299"
"1204","Asahikawa-shi, Hokkaido","北海道 旭川市","352619","363631","359071","360568","359536","355004","347095","339605","329306"
"1205","Muroran-shi, Hokkaido","北海道 室蘭市","150199","136208","117855","109766","103278","98372","94535","88564","82383"
"1206","Kushiro-shi, Hokkaido","北海道 釧路市","227234","226097","216423","209680","201566","190478","181169","174742","165077"
"1207","Obihiro-shi, Hokkaido","北海道 帯広市","153861","162932","167384","171715","173030","170580","168057","169327","166536"
"1208","Kitami-shi, Hokkaido","北海道 北見市","128229","131573","129725","131544","132125","129365","125689","121226","115480"
"1209","Yubari-shi, Hokkaido","北海道 夕張市","41715","31665","20969","17116","14791","13001","10922","8843","7334"
"1210","Iwamizawa-shi, Hokkaido","北海道 岩見沢市","93340","95862","93312","97042","96302","93677","90145","84499","79306"
"1211","Abashiri-shi, Hokkaido","北海道 網走市","44777","44283","44416","44176","43395","42045","40998","39077","35759"
"1212","Rumoi-shi, Hokkaido","北海道 留萌市","36626","35542","32429","30060","28325","26826","24457","22221","20114"
"1213","Tomakomai-shi, Hokkaido","北海道 苫小牧市","151967","158061","160118","169328","172086","172758","173320","172737","170113"
"1214","Wakkanai-shi, Hokkaido","北海道 稚内市","53471","51854","48232","45754","43774","41592","39595","36380","33563"
"1215","Bibai-shi, Hokkaido","北海道 美唄市","38552","37414","35176","33434","31183","29083","26034","23035","20413"
"1216","Ashibetsu-shi, Hokkaido","北海道 芦別市","32946","30017","25078","22931","21026","18899","16628","14676","12555"
"1217","Ebetsu-shi, Hokkaido","北海道 江別市","86349","90328","97201","115495","123877","125601","123722","120636","121056"
"1218","Akabira-shi, Hokkaido","北海道 赤平市","25467","22645","19409","17351","15753","14401","12637","11105","9698"
"1219","Mombetsu-shi, Hokkaido","北海道 紋別市","33860","32163","31078","30137","28476","26632","24750","23109","21215"
"1220","Shibetsu-shi, Hokkaido","北海道 士別市","32103","30459","28162","26403","24991","23411","21787","19914","17858"
"1221","Nayoro-shi, Hokkaido","北海道 名寄市","42222","41069","37194","34664","33328","31628","30591","29048","27282"
"1222","Mikasa-shi, Hokkaido","北海道 三笠市","23319","21511","17049","15116","13561","11927","10221","9076","8040"
"1223","Nemuro-shi, Hokkaido","北海道 根室市","42880","40675","36912","34934","33150","31202","29201","26917","24636"
"1224","Chitose-shi, Hokkaido","北海道 千歳市","66788","73610","78946","84866","88897","91437","93604","95648","97950"
"1225","Takikawa-shi, Hokkaido","北海道 滝川市","51192","52004","49591","48425","46861","45562","43170","41192","39490"
"1226","Sunagawa-shi, Hokkaido","北海道 砂川市","25355","24829","23152","21722","21072","20068","19056","17694","16486"
"1227","Utashinai-shi, Hokkaido","北海道 歌志内市","10178","9612","8279","6867","5941","5221","4387","3585","2989"
